subbad,alfass,B,snr,odg,payload,ber0,ber1
3,0.002,8,31.4018152562656,-3.05,689.0625,0.194580078125,0.194580078125
3,0.003,8,27.8799900751519,-3.62,689.0625,0.18896484375,0.18896484375
3,0.004,8,25.3812153429859,-3.75,689.0625,0.190673828125,0.190673828125
3,0.005,8,23.4430150828248,-3.83,689.0625,0.18603515625,0.18603515625
3,0.006,8,21.8593901618723,-3.76,689.0625,0.208984375,0.208984375
3,0.007,8,20.52045436926,-3.88,689.0625,0.185302734375,0.185302734375
3,0.008,8,19.3606154297063,-3.87,689.0625,0.185546875,0.185546875
3,0.009,8,18.3375649807587,-3.88,689.0625,0.185546875,0.185546875
3,0.01,8,17.4224151695452,-3.89,689.0625,0.185302734375,0.185302734375
3,0.001,16,45.2952498715454,-0.14,172.265625,0.1884765625,0.1884765625
3,0.002,16,39.2746499582658,-0.69,172.265625,0.1884765625,0.1884765625
3,0.003,16,35.7528247771522,-1.31,172.265625,0.1865234375,0.1865234375
3,0.004,16,33.2540500449862,-1.9,172.265625,0.187255859375,0.187255859375
3,0.005,16,31.315849784825,-2.44,172.265625,0.1884765625,0.1884765625
3,0.006,16,29.7322248638726,-2.77,172.265625,0.188232421875,0.188232421875
3,0.007,16,28.3932890712603,-3.05,172.265625,0.192138671875,0.192138671875
3,0.008,16,27.2334501317065,-3.22,172.265625,0.188720703125,0.188720703125
3,0.009,16,26.2103996827589,-3.35,172.265625,0.190185546875,0.190185546875
3,0.01,16,25.2952498715454,-3.4,172.265625,0.189697265625,0.189697265625
3,0.001,32,52.5938223050979,-0.02,43.06640625,0.189697265625,0.189697265625
3,0.002,32,46.5732223918183,-0.01,43.06640625,0.1865234375,0.1865234375
3,0.003,32,43.0513972107046,-0.12,43.06640625,0.1875,0.1875
3,0.004,32,40.5526224785386,-0.23,43.06640625,0.188232421875,0.188232421875
3,0.005,32,38.6144222183775,-0.34,43.06640625,0.189208984375,0.189208984375
3,0.006,32,37.030797297425,-0.52,43.06640625,0.18798828125,0.18798828125
3,0.007,32,35.6918615048128,-0.65,43.06640625,0.188720703125,0.188720703125
3,0.008,32,34.532022565259,-0.83,43.06640625,0.1884765625,0.1884765625
3,0.009,32,33.5089721163114,-1.01,43.06640625,0.18798828125,0.18798828125
3,0.01,32,32.5938223050979,-1.21,43.06640625,0.189453125,0.189453125
4,0.001,2,26.0393283061715,-3.67,11025,1,1
4,0.002,2,20.0187283928919,-3.68,11025,1,1
4,0.003,2,16.4969032117778,-3.68,11025,1,1
4,0.001,4,31.9126430198614,-3.62,2756.25,0.9931640625,0.9931640625
4,0.002,4,25.8920431065818,-3.82,2756.25,1,1
4,0.003,4,22.3702179254682,-3.85,2756.25,1,1
4,0.004,4,19.8714431933022,-3.88,2756.25,0.9970703125,0.9970703125
4,0.005,4,17.9332429331411,-3.87,2756.25,1,1
4,0.006,4,16.3496180121886,-3.89,2756.25,1,1
4,0.007,4,15.0106822195763,-3.89,2756.25,0.971923828125,0.971923828125
